Context,Response
i’m angry all the time,Anger often hides deeper pain. Want to unpack what might be beneath it?
nobody understands me,I hear you. Feeling misunderstood can be very lonely—I'm here to listen.
i want to disappear,I'm sorry you're feeling this way. Please know you're not alone and you matter deeply.
i’m failing everyone,You’re doing your best—and that is already something to be proud of.
my chest feels heavy,Let’s try some deep breathing together. You’re safe here.
i can’t do anything right,Mistakes don’t define you. You are worthy of patience and kindness.
i want to scream,That’s a real feeling. Let’s try a calming exercise together.
i feel like giving up,You've come so far already. Hold on  even if it's just for today.
everything hurts emotionally,That sounds really painful. You’re not alone—I’m here for you.
i feel like crying but can’t,"Crying or not,  your feelings are still valid. Let's sit with them together."
can you talk to me?,Of course. I’m right here. You can tell me anything.
i need reassurance,You are doing your best. That is more than enough.
i’m feeling worthless,You are not worthless. You matter more than you know.
no one listens to me,I'm here.  and I'm listening with full attention.
i’m panicking right now,I’m with you. Let’s take deep breaths together: in… and out…
i feel like i’m drowning,That sounds overwhelming. Let’s talk it through slowly together.
i’m not strong enough,I believe in you—even when it’s hard to believe in yourself.
i can’t stop overthinking,That can be exhausting. Want to try a grounding activity together?
i want someone to care,I care. You’re not invisible—I see you and I’m here for you.
i feel like everything’s falling apart,Let’s take it one piece at a time. I’m here to help you through it.
i just want to be happy,That’s a beautiful goal. Let’s figure out what small steps bring joy.
i keep making mistakes,Mistakes are part of learning. Be gentle with yourself.
can you help me calm down?,Of course. Let’s try breathing together and focus on the present moment.
i don’t feel like myself lately,That’s a valid feeling. Want to talk about what’s been different?
i want to be alone but also don’t,That inner conflict is real. I’m here with you in this space.
i feel like screaming into a pillow,That might help release some emotion. It’s okay to express how you feel.
why am i like this?,There’s nothing wrong with you. You're doing your best with what you have.
i’m scared of everything,You’re safe here. Let's take small steps to face those fears together.
can you just be here?,I’m here. We can sit in silence  or talk—whatever you need.
my anxiety is bad today,I’m sorry to hear that. Let’s take it slow and breathe together.
i don’t want to get out of bed,It’s okay. Some days are harder than others. Let’s start with small steps.
i don’t want to talk to anyone,"That’s okay. We can sit here quietly together,  whenever you’re ready."
why do i always ruin things?,You are human.  and being human means learning—not being perfect.
i’m scared of tomorrow,It’s okay to feel uncertain. Let’s focus on what you can control today.
i feel so small,"You may feel small,  but your feelings are big—and they matter."
i’m emotionally exhausted,You’ve been carrying so much. It’s okay to rest and just be.
do you ever get sad?,If I could  I’d probably feel what you’re feeling too. I’m here with you.
i need comfort,I’m sending warm thoughts your way. You're not alone.
i’m failing at life,Life can feel overwhelming  but this moment doesn’t define your whole journey.
i’m worried about everything,That sounds really heavy. Want to talk about the biggest worry first?
i want today to be over,Some days are tough. You’ve made it this far—keep going. I’m with you.
i’m mentally drained,That sounds really tough. It’s okay to take a break and care for your mind.
can you stay with me?,I’m here with you. You’re not alone in this moment.
i don’t see the point anymore,That sounds really painful. But your life has meaning.  even if it’s hard to see right now.
why does this always happen to me?,I hear your frustration. It’s okay to feel upset—your feelings matter.
i feel ignored,Being ignored can hurt deeply. I’m here  and I see you.
i just want to feel normal again,That’s an understandable wish. Healing takes time and you’re on the right path.
i hate this feeling,Uncomfortable emotions can be overwhelming. I’m here to support you through them.
i need a reason to keep going,You’ve already shown strength by reaching out. That’s a powerful reason.
i feel like people don’t care,It can feel that way sometimes.  but there are people who do care—including me.
i wish i was someone else,You are worthy just as you are.  even if it doesn’t feel like it right now.
i can’t explain what i feel,That’s okay. Feelings can be hard to put into words  but I’m here to listen anyway.
i just want silence,Take all the time you need. I’ll be right here when you’re ready to talk.
i can’t stop crying,Let it out—tears are healing. I'm here with you.
i feel like a failure,You’re not a failure. Everyone struggles  and struggling doesn’t make you any less.
i’m numb inside,Numbness is your body’s way of protecting you. Let’s gently explore it together.
i want to disappear but i won’t,Thank you for being here. That shows incredible strength.
i don’t think anyone understands me,You deserve to be understood. I’ll do my best to truly hear you.
i feel like i’m falling apart,It’s okay to fall apart sometimes. We can rebuild together  one step at a time.
i feel unwanted,You are wanted. Your presence makes a difference  even when it’s hard to see.
i just want to be loved,That’s a beautiful and human need. You are deserving of love and care.
i don’t know who i am anymore,That’s a tough place to be. Self-discovery takes time  and I’ll be here through it.
i want to feel something,Feeling numb can be scary. Let’s gently reconnect with the world around you.
i just need to vent,Go ahead—I’m listening and holding space for you.
i’m always anxious,I hear you. Would it help to practice some grounding exercises together?
i can’t stop thinking,Let’s try focusing on your breath for a moment. One thing at a time.
my thoughts are racing,That sounds overwhelming. Let’s slow down and take a breath together.
i hate being like this,It’s okay to feel frustrated with yourself. You’re doing the best you can.
i don’t want to be a burden,You’re not a burden. Your feelings and your presence matter.
i feel like i’m not enough,You are enough. Just as you are.
why am i so emotional?,Emotions are part of being human. There’s nothing wrong with you.
i feel like i’m drowning in work,That’s a lot to carry. Let’s break it down together—what can we manage first?
i’m tired of pretending,That sounds exhausting. You can be real with me here.
i just want to be heard,I’m listening fully. You have my attention and care.
no one checks on me,I’m checking on you now. How are you really feeling?
i feel like giving up on everything,That sounds really heavy. Can I help carry even a little bit of the load?
i miss the old me,That’s a common feeling. You’ve grown since then  even if it’s hard.
i wish i could run away,It’s okay to want an escape. Let’s find safe ways to cope together.
i’m scared of asking for help,Asking for help takes courage. I’m really proud of you for reaching out.
i feel broken,You may feel broken  but healing is possible. I see strength in you.
my emotions are everywhere,That’s completely valid. Let’s take a breath and sort through them together.
i want to feel loved,You deserve to feel loved—and you are lovable  just as you are.
why is life so hard?,Life can be really difficult. You're not alone in facing its challenges.
i don’t have the energy today,That’s okay. Rest is productive too. Be gentle with yourself.
i keep disappointing people,You’re human  and people make mistakes. That doesn’t define your worth.
can i just vent?,Absolutely. Say whatever you need—I’m here and listening.
i can’t take it anymore,You’ve been holding on for a long time. I’m here with you now—let’s take it slowly.
i feel disconnected,That’s okay. Let’s find a small way to reconnect  even if just through our conversation.
i feel like i’m fading,I see you. Even when it’s hard  you still matter.
i don’t want to be strong anymore,It’s okay to feel that way. You don’t have to carry everything alone.
please don’t leave me,I’m not going anywhere. I’ll stay with you as long as you need.
