Task_ID,Task_Type,Priority,Completion_Status,Dependency,Task_Importance,Estimated_Time,Interruptions,Workload,Task_Creation_Time,Deadline,Hours_To_Deadline,Urgency_Score
TASK_0024,Brainstorming,Low,Pending,None,6,7.6,2.9,7.8,2025-06-02 14:00:00,2025-06-06 16:00:00,98.0,4.6
TASK_0025,Documentation,High,In Progress,External,8,2.8,4.1,8.1,2025-06-04 18:00:00,2025-06-05 16:00:00,22.0,5.5
TASK_0026,Lecture Notes Review,Medium,Pending,Internal,5,6.9,1.6,5.5,2025-06-05 03:00:00,2025-06-07 20:00:00,65.0,3.8
TASK_0027,Design,Medium,In Progress,External,1,1.5,1.7,9.1,2025-06-02 20:00:00,2025-06-07 02:00:00,102.0,2.3
TASK_0028,Design,Low,Completed,Internal,1,5.8,3.0,3.4,2025-06-01 16:00:00,2025-06-05 16:00:00,96.0,2.5
TASK_0029,Training,Medium,Completed,External,9,6.1,1.4,4.7,2025-06-03 07:00:00,2025-06-05 21:00:00,62.0,4.8
TASK_0030,Exam Preparation,Medium,Pending,Internal,10,5.6,0.1,9.1,2025-06-05 01:00:00,2025-06-07 21:00:00,68.0,5.3
TASK_0031,Presentation,High,Completed,External,6,2.4,3.7,9.1,2025-06-02 21:00:00,2025-06-05 20:00:00,71.0,4.3
TASK_0032,Analysis,Low,In Progress,None,10,7.0,3.1,7.2,2025-06-03 18:00:00,2025-06-05 01:00:00,31.0,6.1
TASK_0033,Development,High,Pending,None,5,1.8,2.9,8.7,2025-06-03 20:00:00,2025-06-04 17:00:00,21.0,4.3
TASK_0034,Training,Medium,Pending,Internal,1,0.9,3.7,1.8,2025-06-01 13:00:00,2025-06-02 18:00:00,29.0,2.3
TASK_0035,Testing,Low,Pending,None,6,5.9,3.4,8.8,2025-06-03 18:00:00,2025-06-08 05:00:00,107.0,4.6
TASK_0036,Assignment,Medium,Pending,Internal,6,4.1,1.0,3.9,2025-06-01 22:00:00,2025-06-02 20:00:00,22.0,4.1
TASK_0037,Customer Support,High,Completed,None,3,6.9,1.8,2.6,2025-06-05 06:00:00,2025-06-07 16:00:00,58.0,3.0
TASK_0038,Testing,High,In Progress,None,8,3.4,0.6,3.2,2025-06-04 21:00:00,2025-06-07 09:00:00,60.0,3.9
TASK_0039,Bug Fixing,Medium,Completed,Internal,1,1.8,0.6,4.8,2025-06-05 17:00:00,2025-06-06 02:00:00,9.0,3.4
TASK_0040,Review,Medium,Pending,None,1,6.8,3.4,3.3,2025-06-05 12:00:00,2025-06-05 16:00:00,4.0,6.2
TASK_0041,Case Study,High,Pending,None,6,4.6,4.3,3.9,2025-06-03 12:00:00,2025-06-03 23:00:00,11.0,5.5
TASK_0042,Bug Fixing,Medium,In Progress,None,10,1.9,4.8,2.2,2025-06-01 22:00:00,2025-06-06 02:00:00,100.0,4.9
TASK_0043,Customer Support,Low,Pending,Internal,1,5.9,3.1,3.7,2025-06-02 02:00:00,2025-06-04 08:00:00,54.0,2.7
TASK_0044,Assignment,High,In Progress,None,6,4.3,0.9,6.2,2025-06-03 05:00:00,2025-06-07 19:00:00,110.0,3.7
TASK_0045,Planning,Low,Completed,Internal,1,5.0,0.5,5.0,2025-06-01 09:00:00,2025-06-05 01:00:00,88.0,2.1
TASK_0046,Presentation,Medium,In Progress,None,6,4.0,4.1,4.1,2025-06-04 16:00:00,2025-06-08 11:00:00,91.0,4.0
TASK_0047,Design,Low,In Progress,Internal,3,6.7,2.9,7.7,2025-06-04 04:00:00,2025-06-05 08:00:00,28.0,4.0
TASK_0048,Testing,Low,Pending,Internal,8,6.7,3.1,9.0,2025-06-01 15:00:00,2025-06-03 17:00:00,50.0,5.4
TASK_0049,Exam Preparation,Medium,Pending,None,6,5.8,3.9,7.8,2025-06-02 16:00:00,2025-06-05 02:00:00,58.0,4.7
TASK_0050,Research,High,Pending,None,1,1.3,3.5,4.0,2025-06-05 01:00:00,2025-06-07 20:00:00,67.0,2.1
TASK_0051,Design,Low,In Progress,None,5,6.8,4.2,7.7,2025-06-03 06:00:00,2025-06-07 20:00:00,110.0,4.4
TASK_0052,Analysis,Low,Pending,External,8,5.5,0.3,2.4,2025-06-05 04:00:00,2025-06-08 18:00:00,86.0,4.0
TASK_0053,Case Study,Low,Pending,None,3,5.7,3.7,2.2,2025-06-03 12:00:00,2025-06-07 12:00:00,96.0,3.0
TASK_0054,Brainstorming,Medium,In Progress,None,6,3.2,4.3,4.1,2025-06-04 13:00:00,2025-06-05 02:00:00,13.0,5.1
TASK_0055,Review,High,Pending,None,5,7.1,1.4,8.3,2025-06-04 08:00:00,2025-06-06 19:00:00,59.0,4.1
TASK_0056,Bug Fixing,Medium,Pending,None,6,5.9,3.2,3.2,2025-06-04 14:00:00,2025-06-05 05:00:00,15.0,5.0
TASK_0057,Research,Medium,Pending,None,10,1.3,1.6,1.6,2025-06-05 21:00:00,2025-06-07 09:00:00,36.0,4.5
TASK_0058,Review,High,Completed,External,1,3.6,4.8,2.2,2025-06-05 03:00:00,2025-06-08 05:00:00,74.0,2.4
TASK_0059,Planning,Medium,In Progress,Internal,7,7.1,0.2,8.7,2025-06-03 00:00:00,2025-06-03 20:00:00,20.0,5.1
TASK_0060,Deployment,Low,In Progress,None,9,0.9,2.9,6.7,2025-06-04 00:00:00,2025-06-06 16:00:00,64.0,4.7
TASK_0061,Documentation,Low,Pending,None,2,7.7,0.8,3.3,2025-06-03 03:00:00,2025-06-03 16:00:00,13.0,3.7
TASK_0062,Review,Medium,Completed,None,10,5.6,3.6,6.0,2025-06-01 01:00:00,2025-06-02 11:00:00,34.0,5.8
TASK_0063,Bug Fixing,Medium,In Progress,Internal,5,5.2,0.9,5.7,2025-06-04 23:00:00,2025-06-07 14:00:00,63.0,3.5
TASK_0064,Exam Preparation,Medium,Pending,Internal,10,2.5,1.2,6.9,2025-06-05 23:00:00,2025-06-09 00:00:00,73.0,4.8
TASK_0065,Planning,High,Completed,Internal,4,2.4,2.5,3.1,2025-06-03 01:00:00,2025-06-03 21:00:00,20.0,3.5
TASK_0066,Documentation,Medium,Pending,Internal,6,7.6,4.6,8.8,2025-06-05 20:00:00,2025-06-08 01:00:00,53.0,5.2
TASK_0067,Review,Medium,In Progress,None,6,2.7,1.1,3.8,2025-06-04 13:00:00,2025-06-06 05:00:00,40.0,3.5
TASK_0068,Case Study,Medium,In Progress,Internal,2,6.3,0.7,7.2,2025-06-02 18:00:00,2025-06-06 07:00:00,85.0,2.8
TASK_0069,Lecture Notes Review,Medium,Pending,External,2,3.4,3.8,1.1,2025-06-04 04:00:00,2025-06-06 21:00:00,65.0,2.5
TASK_0070,Design,High,Completed,None,4,1.5,2.5,4.4,2025-06-01 07:00:00,2025-06-05 04:00:00,93.0,2.9
TASK_0071,Research,Medium,Completed,Internal,1,0.6,4.6,4.2,2025-06-03 10:00:00,2025-06-08 06:00:00,116.0,2.2
TASK_0072,Case Study,Low,In Progress,None,9,4.6,0.7,5.9,2025-06-03 16:00:00,2025-06-07 03:00:00,83.0,4.6
TASK_0073,Research,High,Pending,External,7,7.8,3.2,1.7,2025-06-04 08:00:00,2025-06-07 11:00:00,75.0,4.4
TASK_0074,Assignment,Medium,Pending,None,7,3.3,1.2,8.1,2025-06-01 11:00:00,2025-06-05 06:00:00,91.0,4.1
TASK_0075,Lecture Notes Review,Medium,Pending,None,3,3.2,0.8,3.0,2025-06-01 03:00:00,2025-06-04 11:00:00,80.0,2.3
TASK_0076,Group Project,Medium,Completed,External,3,3.1,3.4,7.1,2025-06-05 20:00:00,2025-06-07 04:00:00,32.0,3.5
TASK_0077,Bug Fixing,Medium,Pending,None,1,4.4,3.0,8.2,2025-06-04 04:00:00,2025-06-05 15:00:00,35.0,3.1
TASK_0078,Design,High,In Progress,None,3,3.8,3.8,6.1,2025-06-04 22:00:00,2025-06-08 17:00:00,91.0,3.2
TASK_0079,Assignment,Low,Completed,None,3,7.1,1.5,7.7,2025-06-02 16:00:00,2025-06-06 03:00:00,83.0,3.4
TASK_0080,Group Project,Medium,Pending,Internal,4,4.3,2.2,7.0,2025-06-01 06:00:00,2025-06-01 20:00:00,14.0,4.4
TASK_0081,Customer Support,Low,In Progress,None,4,4.3,2.0,4.2,2025-06-04 14:00:00,2025-06-08 17:00:00,99.0,3.1
TASK_0082,Design,High,Pending,None,3,1.5,4.9,8.3,2025-06-04 15:00:00,2025-06-05 00:00:00,9.0,5.1
TASK_0083,Group Project,Low,Completed,Internal,10,7.9,1.5,3.7,2025-06-03 20:00:00,2025-06-05 10:00:00,38.0,5.5
TASK_0084,Meeting,High,In Progress,Internal,8,2.4,1.5,6.1,2025-06-03 20:00:00,2025-06-05 08:00:00,36.0,4.5
TASK_0085,Testing,Medium,Pending,None,8,1.1,1.8,7.7,2025-06-04 08:00:00,2025-06-05 05:00:00,21.0,4.9
TASK_0086,Customer Support,High,Pending,External,1,5.5,2.8,4.4,2025-06-02 05:00:00,2025-06-03 21:00:00,40.0,2.7
TASK_0087,Meeting,High,In Progress,Internal,7,5.0,1.3,3.7,2025-06-04 00:00:00,2025-06-04 16:00:00,16.0,4.8
TASK_0088,Exam Preparation,High,Completed,Internal,2,3.6,4.6,5.1,2025-06-01 05:00:00,2025-06-04 10:00:00,77.0,3.0
TASK_0089,Research,High,Completed,None,1,3.7,1.3,8.4,2025-06-04 16:00:00,2025-06-09 00:00:00,104.0,2.4
TASK_0090,Report Writing,Medium,In Progress,None,3,6.4,4.5,9.4,2025-06-01 18:00:00,2025-06-05 15:00:00,93.0,4.0
TASK_0091,Training,Medium,Pending,None,4,2.0,0.5,5.9,2025-06-04 07:00:00,2025-06-09 00:00:00,113.0,2.7
TASK_0092,Brainstorming,Low,Pending,None,6,6.7,3.3,7.0,2025-06-04 12:00:00,2025-06-08 00:00:00,84.0,4.5
TASK_0093,Research,Low,Pending,None,10,5.4,4.5,9.1,2025-06-03 17:00:00,2025-06-06 12:00:00,67.0,6.0
TASK_0094,Analysis,Medium,In Progress,None,5,3.6,0.8,1.9,2025-06-01 09:00:00,2025-06-01 13:00:00,4.0,6.4
TASK_0095,Analysis,Medium,Completed,External,4,3.9,4.8,3.1,2025-06-01 15:00:00,2025-06-04 09:00:00,66.0,3.5
TASK_0096,Meeting,Medium,In Progress,None,8,2.4,2.3,7.4,2025-06-02 12:00:00,2025-06-06 08:00:00,92.0,4.4
TASK_0097,Development,Medium,Pending,None,4,6.1,4.7,8.4,2025-06-04 06:00:00,2025-06-05 19:00:00,37.0,4.5
TASK_0098,Documentation,High,In Progress,Internal,10,4.3,3.4,8.7,2025-06-04 04:00:00,2025-06-08 14:00:00,106.0,5.6
TASK_0099,Testing,Medium,Completed,None,2,2.9,1.5,4.7,2025-06-04 04:00:00,2025-06-04 17:00:00,13.0,3.4
TASK_0100,Customer Support,High,Completed,None,3,5.0,0.9,1.8,2025-06-02 07:00:00,2025-06-05 22:00:00,87.0,2.4
TASK_0101,Testing,High,Completed,Internal,6,8.0,1.5,4.9,2025-06-05 12:00:00,2025-06-05 22:00:00,10.0,5.6
TASK_0102,Customer Support,High,Pending,None,8,3.8,0.5,3.1,2025-06-02 22:00:00,2025-06-05 09:00:00,59.0,4.0
TASK_0103,Research,Medium,Pending,External,8,7.4,0.7,3.6,2025-06-05 13:00:00,2025-06-09 00:00:00,83.0,4.4
TASK_0104,Exam Preparation,High,Completed,External,9,3.1,0.5,8.0,2025-06-03 23:00:00,2025-06-05 15:00:00,40.0,4.8
TASK_0105,Planning,High,In Progress,None,7,0.9,2.1,1.7,2025-06-02 18:00:00,2025-06-04 02:00:00,32.0,3.7
TASK_0106,Meeting,High,Pending,Internal,2,2.0,4.0,8.4,2025-06-04 09:00:00,2025-06-05 00:00:00,15.0,4.0
TASK_0107,Lecture Notes Review,Low,Completed,None,8,3.6,0.7,4.8,2025-06-05 23:00:00,2025-06-06 19:00:00,20.0,4.7
TASK_0108,Development,Medium,Completed,None,7,2.1,0.7,6.4,2025-06-02 11:00:00,2025-06-04 14:00:00,51.0,3.9
TASK_0109,Analysis,Medium,In Progress,None,8,0.5,3.2,1.8,2025-06-02 01:00:00,2025-06-05 16:00:00,87.0,3.8
TASK_0110,Exam Preparation,Low,In Progress,None,3,7.4,1.0,4.0,2025-06-01 09:00:00,2025-06-02 14:00:00,29.0,3.4
TASK_0111,Research,Medium,Pending,Internal,7,6.8,0.5,1.8,2025-06-02 06:00:00,2025-06-07 01:00:00,115.0,3.7
TASK_0112,Analysis,High,In Progress,None,10,6.1,0.8,9.7,2025-06-05 00:00:00,2025-06-08 14:00:00,86.0,5.4
TASK_0113,Meeting,High,In Progress,None,9,1.8,4.6,8.3,2025-06-02 04:00:00,2025-06-06 22:00:00,114.0,5.1
TASK_0114,Analysis,Low,Completed,None,3,1.4,4.1,5.1,2025-06-01 04:00:00,2025-06-01 19:00:00,15.0,3.9
TASK_0115,Development,High,Completed,None,10,1.0,1.8,3.0,2025-06-04 04:00:00,2025-06-05 04:00:00,24.0,4.9
TASK_0116,Design,Medium,Completed,None,6,5.9,3.3,9.4,2025-06-01 00:00:00,2025-06-02 21:00:00,45.0,4.8
TASK_0117,Case Study,High,Pending,None,2,7.5,2.7,4.1,2025-06-04 14:00:00,2025-06-07 06:00:00,64.0,3.1
TASK_0118,Analysis,High,Completed,External,2,3.7,3.4,2.4,2025-06-05 07:00:00,2025-06-07 20:00:00,61.0,2.6
TASK_0119,Meeting,Medium,Completed,None,5,1.4,3.4,6.1,2025-06-01 02:00:00,2025-06-03 11:00:00,57.0,3.6
TASK_0120,Development,Medium,In Progress,None,5,4.3,3.1,9.5,2025-06-03 18:00:00,2025-06-05 07:00:00,37.0,4.4
TASK_0121,Case Study,High,Completed,None,7,3.1,1.3,1.0,2025-06-03 22:00:00,2025-06-04 08:00:00,10.0,4.9
TASK_0122,Testing,Medium,Completed,None,2,3.3,0.2,3.1,2025-06-05 03:00:00,2025-06-09 19:00:00,112.0,1.9
TASK_0123,Customer Support,Low,In Progress,Internal,7,5.2,2.3,9.4,2025-06-02 10:00:00,2025-06-04 00:00:00,38.0,4.9
TASK_0124,Design,High,In Progress,None,5,5.9,4.5,2.5,2025-06-01 14:00:00,2025-06-02 08:00:00,18.0,4.6
TASK_0125,Design,Medium,Pending,None,6,1.3,2.8,2.0,2025-06-05 07:00:00,2025-06-08 03:00:00,68.0,3.3
TASK_0126,Documentation,High,Pending,None,8,0.8,4.2,6.1,2025-06-03 18:00:00,2025-06-07 15:00:00,93.0,4.4
TASK_0127,Group Project,Medium,In Progress,External,10,8.0,5.0,8.8,2025-06-04 20:00:00,2025-06-09 02:00:00,102.0,6.3
TASK_0128,Training,High,Completed,External,4,2.2,0.8,5.3,2025-06-02 05:00:00,2025-06-03 09:00:00,28.0,3.2
TASK_0129,Testing,Low,Pending,None,7,0.9,3.5,10.0,2025-06-05 06:00:00,2025-06-09 19:00:00,109.0,4.4
TASK_0130,Brainstorming,High,Pending,External,6,1.9,3.4,7.1,2025-06-04 09:00:00,2025-06-06 23:00:00,62.0,4.0
TASK_0131,Presentation,High,In Progress,External,10,0.8,4.9,1.7,2025-06-04 02:00:00,2025-06-07 12:00:00,82.0,4.8
TASK_0132,Review,Low,Pending,Internal,2,3.4,4.9,9.9,2025-06-02 18:00:00,2025-06-06 11:00:00,89.0,3.5
TASK_0133,Development,Medium,Pending,Internal,8,6.5,3.4,4.7,2025-06-05 16:00:00,2025-06-06 01:00:00,9.0,6.5
TASK_0134,Testing,High,Pending,None,10,3.1,1.2,3.6,2025-06-03 11:00:00,2025-06-05 18:00:00,55.0,4.7
TASK_0135,Group Project,Medium,Pending,None,9,3.8,4.0,6.0,2025-06-05 05:00:00,2025-06-08 15:00:00,82.0,5.1
TASK_0136,Design,Low,Pending,None,5,5.6,0.5,3.7,2025-06-02 15:00:00,2025-06-06 10:00:00,91.0,3.2
TASK_0137,Report Writing,Medium,Pending,None,10,4.3,3.9,1.8,2025-06-03 16:00:00,2025-06-04 16:00:00,24.0,5.5
TASK_0138,Review,Medium,In Progress,Internal,4,7.0,4.6,1.0,2025-06-02 04:00:00,2025-06-05 06:00:00,74.0,3.6
TASK_0139,Group Project,High,Completed,None,6,7.0,1.9,5.0,2025-06-04 01:00:00,2025-06-08 01:00:00,96.0,4.1
TASK_0140,Testing,Medium,In Progress,None,8,0.6,3.2,8.5,2025-06-04 19:00:00,2025-06-08 22:00:00,99.0,4.5
TASK_0141,Training,Medium,Completed,External,3,6.3,2.2,6.2,2025-06-04 22:00:00,2025-06-06 09:00:00,35.0,3.6
TASK_0142,Planning,Low,Pending,None,10,4.0,2.2,10.0,2025-06-01 18:00:00,2025-06-04 02:00:00,56.0,5.6
TASK_0143,Documentation,Medium,Pending,None,1,7.9,1.6,3.6,2025-06-01 02:00:00,2025-06-03 16:00:00,62.0,2.6
TASK_0144,Group Project,Medium,Completed,None,4,4.1,3.8,3.5,2025-06-02 11:00:00,2025-06-05 11:00:00,72.0,3.4
TASK_0145,Assignment,Low,Pending,None,4,7.9,4.7,2.4,2025-06-02 18:00:00,2025-06-05 11:00:00,65.0,3.9
TASK_0146,Deployment,High,In Progress,External,1,6.2,4.7,2.5,2025-06-01 14:00:00,2025-06-01 21:00:00,7.0,4.9
TASK_0147,Exam Preparation,Medium,In Progress,None,9,2.4,0.9,3.6,2025-06-05 00:00:00,2025-06-08 17:00:00,89.0,4.1
TASK_0148,Exam Preparation,Medium,In Progress,None,3,4.5,4.4,8.1,2025-06-02 16:00:00,2025-06-03 13:00:00,21.0,4.3
TASK_0149,Presentation,High,Pending,None,5,7.9,3.7,9.2,2025-06-05 10:00:00,2025-06-09 16:00:00,102.0,4.6
TASK_0150,Report Writing,Medium,Pending,None,6,6.9,1.3,9.8,2025-06-05 18:00:00,2025-06-09 06:00:00,84.0,4.4
TASK_0151,Testing,High,In Progress,External,8,1.2,0.3,3.1,2025-06-05 12:00:00,2025-06-10 09:00:00,117.0,3.5
TASK_0152,Meeting,Medium,Pending,None,6,5.8,1.3,8.9,2025-06-04 17:00:00,2025-06-09 14:00:00,117.0,4.2
TASK_0153,Meeting,Low,In Progress,None,3,3.1,4.6,4.0,2025-06-04 07:00:00,2025-06-06 18:00:00,59.0,3.2
TASK_0154,Presentation,Medium,Completed,Internal,6,0.6,3.2,2.0,2025-06-02 11:00:00,2025-06-03 14:00:00,27.0,3.7
TASK_0155,Group Project,Medium,Completed,External,1,3.5,3.6,8.8,2025-06-05 00:00:00,2025-06-07 21:00:00,69.0,2.9
TASK_0156,Customer Support,High,Pending,None,4,2.3,1.3,6.7,2025-06-04 11:00:00,2025-06-05 03:00:00,16.0,3.9
TASK_0157,Analysis,Low,Completed,None,6,6.6,3.6,2.5,2025-06-04 04:00:00,2025-06-06 21:00:00,65.0,4.2
TASK_0158,Testing,Low,In Progress,External,7,3.0,0.1,4.9,2025-06-02 08:00:00,2025-06-04 17:00:00,57.0,3.7
TASK_0159,Deployment,Low,Pending,External,10,6.7,1.9,3.6,2025-06-01 04:00:00,2025-06-01 22:00:00,18.0,5.9
TASK_0160,Research,Low,Pending,None,3,0.5,3.1,7.6,2025-06-05 04:00:00,2025-06-08 04:00:00,72.0,2.9
TASK_0161,Customer Support,High,Completed,Internal,9,2.8,0.7,5.1,2025-06-04 05:00:00,2025-06-04 11:00:00,6.0,6.7
TASK_0162,Development,Low,Pending,None,7,2.3,4.1,9.9,2025-06-04 18:00:00,2025-06-06 10:00:00,40.0,4.9
TASK_0163,Meeting,Medium,Pending,None,1,2.3,1.2,1.5,2025-06-04 14:00:00,2025-06-06 06:00:00,40.0,1.8
TASK_0164,Training,Medium,Pending,None,2,1.0,3.3,4.2,2025-06-01 13:00:00,2025-06-05 21:00:00,104.0,2.3
TASK_0165,Documentation,Medium,Completed,None,1,1.9,2.0,5.3,2025-06-05 07:00:00,2025-06-05 13:00:00,6.0,4.5
TASK_0166,Exam Preparation,High,Completed,Internal,9,4.7,3.0,5.5,2025-06-03 19:00:00,2025-06-06 13:00:00,66.0,5.0
TASK_0167,Design,Medium,Completed,None,9,2.7,0.5,3.8,2025-06-05 06:00:00,2025-06-06 20:00:00,38.0,4.4
TASK_0168,Customer Support,High,Pending,None,7,3.6,0.1,7.6,2025-06-05 19:00:00,2025-06-08 02:00:00,55.0,4.0
TASK_0169,Presentation,Medium,Pending,Internal,10,3.3,4.5,8.9,2025-06-04 10:00:00,2025-06-08 04:00:00,90.0,5.7
TASK_0170,Brainstorming,Medium,In Progress,None,3,7.1,1.3,9.4,2025-06-02 22:00:00,2025-06-04 05:00:00,31.0,3.9
TASK_0171,Brainstorming,High,In Progress,None,5,7.3,4.1,8.2,2025-06-03 05:00:00,2025-06-07 06:00:00,97.0,4.5
TASK_0172,Presentation,Low,Pending,None,4,4.2,5.0,8.7,2025-06-01 03:00:00,2025-06-02 00:00:00,21.0,4.7
TASK_0173,Exam Preparation,Low,In Progress,None,7,3.0,1.1,6.0,2025-06-04 21:00:00,2025-06-09 20:00:00,119.0,3.8
TASK_0174,Testing,High,Completed,None,9,1.3,1.3,8.4,2025-06-04 10:00:00,2025-06-06 01:00:00,39.0,4.8
TASK_0175,Planning,Low,Completed,External,2,7.7,3.3,3.7,2025-06-04 22:00:00,2025-06-06 10:00:00,36.0,3.4
TASK_0176,Analysis,High,Completed,None,8,1.0,4.8,4.6,2025-06-04 22:00:00,2025-06-07 17:00:00,67.0,4.5
TASK_0177,Brainstorming,Medium,Completed,None,9,2.7,4.6,3.9,2025-06-01 08:00:00,2025-06-02 13:00:00,29.0,5.3
TASK_0178,Development,High,Pending,External,10,2.7,2.5,5.2,2025-06-03 04:00:00,2025-06-05 07:00:00,51.0,5.0
TASK_0179,Brainstorming,High,In Progress,External,10,2.9,4.0,3.6,2025-06-04 04:00:00,2025-06-05 23:00:00,43.0,5.2
TASK_0180,Brainstorming,Medium,Completed,None,9,1.7,0.7,9.7,2025-06-04 05:00:00,2025-06-05 01:00:00,20.0,5.3
TASK_0181,Brainstorming,High,Pending,None,10,6.4,4.9,3.8,2025-06-05 22:00:00,2025-06-07 17:00:00,43.0,5.8
TASK_0182,Planning,Medium,Completed,None,7,1.4,4.8,1.9,2025-06-03 11:00:00,2025-06-03 21:00:00,10.0,5.4
TASK_0183,Planning,High,In Progress,None,9,5.3,0.8,5.7,2025-06-02 21:00:00,2025-06-05 09:00:00,60.0,4.7
TASK_0184,Development,Low,In Progress,None,9,1.4,1.5,1.5,2025-06-03 05:00:00,2025-06-03 16:00:00,11.0,5.2
TASK_0185,Meeting,Medium,In Progress,None,3,1.0,0.5,2.0,2025-06-04 01:00:00,2025-06-06 12:00:00,59.0,2.0
TASK_0186,Meeting,Low,Completed,Internal,4,7.3,1.4,3.0,2025-06-05 15:00:00,2025-06-07 01:00:00,34.0,3.5
TASK_0187,Training,Medium,Completed,None,2,1.9,4.1,5.2,2025-06-04 22:00:00,2025-06-07 12:00:00,62.0,2.8
TASK_0188,Planning,Low,Pending,External,10,6.7,1.9,4.9,2025-06-02 12:00:00,2025-06-05 01:00:00,61.0,5.3
TASK_0189,Assignment,High,Completed,None,3,4.6,0.4,8.2,2025-06-01 22:00:00,2025-06-02 13:00:00,15.0,3.9
TASK_0190,Exam Preparation,High,Pending,External,5,1.1,1.7,7.7,2025-06-02 02:00:00,2025-06-04 05:00:00,51.0,3.5
TASK_0191,Deployment,High,Pending,External,5,7.7,4.9,4.8,2025-06-03 21:00:00,2025-06-05 07:00:00,34.0,4.7
TASK_0192,Review,Low,In Progress,Internal,6,2.4,3.1,4.0,2025-06-04 17:00:00,2025-06-09 08:00:00,111.0,3.6
TASK_0193,Report Writing,Medium,In Progress,None,7,6.9,2.1,3.8,2025-06-03 17:00:00,2025-06-07 07:00:00,86.0,4.3
TASK_0194,Brainstorming,Medium,In Progress,None,7,1.8,0.8,8.0,2025-06-05 12:00:00,2025-06-08 06:00:00,66.0,3.9
TASK_0195,Deployment,Medium,Completed,None,1,6.9,4.9,1.5,2025-06-03 12:00:00,2025-06-06 17:00:00,77.0,2.8
TASK_0196,Development,Medium,Completed,External,2,0.6,4.1,1.1,2025-06-04 04:00:00,2025-06-05 22:00:00,42.0,2.3
TASK_0197,Presentation,Medium,In Progress,None,9,4.3,1.4,8.2,2025-06-03 02:00:00,2025-06-06 09:00:00,79.0,4.9
TASK_0198,Planning,High,Pending,None,10,6.3,0.4,5.3,2025-06-03 01:00:00,2025-06-04 00:00:00,23.0,5.5
